primaryKey,sector,ward,structureName,deity,areaSqFt,footfall,dateOfEstablishment,obstructingTrafficOrViolating,registration,relevance,remarks,latitude,longitude,status
96,S3,NA,Bethel Pentecostal Church,Church,204.65,0,1993-12-31,Yes,Charity Commission,Low,"This is a very small church that is only open on Sundays. The South Indian community recently constructed it, and they also conduct a Sunday school there.

Latt. 19.039316° Long. 72.847965°",0,0,Consolidate
59,S5,183,Shri Vishwakarma Mandir,Vishwakarma,410.78,100,1999-01-01,Yes,Charity Commission,High,"This temple is located inside Vishvakarma Chawl and was built in 1980. It is in a small lane, and the mandir is in poor condition, but it is still one of the busiest temples in the area. Every day, around 100 people visit for darshan. The temple is mainly visited by the Vishvakarma community and other North Indian residents. The Bihar Vishvakarma Sai Mitra Mandal supports the temple's management. Every year, a big program is organised in the temple during Vishvakarma Puja, which is the main festival celebrated here. Though the condition of the temple is poor, the faith remains strong.",19.050465,72.85623167,Relocate
66,S3,NA,Bethel Pentelcostal Church,Church,364.43,0,1976-07-02,Yes,Charity Commission,NA,"The coordinates for locations 3, 66, and 84 are the same. No other churches are found nearby.",19.0415675,72.8550415,Consolidate
84,S3,NA,Bethel Pentecostal Church,Church,245.63,0,1976-07-16,Yes,Charity Commission,NA,"The coordinates for locations 3, 66, and 84 are the same. No other churches are found nearby.",19.041576,72.8549964,Consolidate
14,S4,NA,Church,Church,1503.26,0,1976-03-15,Yes,Charity Commission,Low,"The Zion Pentecostal Fellowship Church serves the Tamil speaking community. Worship services are held every Sunday, along with study classes for all. The church pastor is John Thomas Martin.",19.0418733,72.8535771,Consolidate
20,S4,NA,Church,Church,1275.06,0,1999-11-14,Yes,-,Low,This Methodist Kannada church is small and only open on Sunday. Only Kannada people go there for worship. They also hold study classes every Sunday under the Methodist Welfare Center's community outreach program.,19.041095,72.85424833,Consolidate
32,S4,NA,church,Church,784.18,0,1997-08-26,Yes,Charity Commission,Moderate,"Hosanna Church provides two services. In the morning from 10:30 to 1, they provide a service for the Telugu community. In the evening from 8 to 10, they provide a service for the Hindi and Marathi community. Every Sunday, they also organize lectures and other events. They conduct Sunday study classes from 4 to 6 for school students.
",19.03982833,72.85219,Consolidate
45,S4,NA,Church,Church,540.2,0,1976-07-01,Yes,Charity Commission,Moderate,"The Living Light Fellowship Church is open at 9 o'clock in the morning and 6 o'clock in the evening. Also its open on sunday. According to the local Hallelujah Community, attendees wear white clothes for prayer.",19.0450416,72.8531959,Consolidate
130,S4,NA,church,Church,131.8,0,1942-05-19,Yes,Charity Commission,NA,Not Found,19.04068833,72.85197833,Consolidate
156,S4,NA,church,Church,91.13,0,1997-08-26,No,Charity Commission,NA,"The coordinates for locations 32, 156, and 162 are the same. No other churches are found nearby.",19.03982833,72.85219,Consolidate
162,S4,NA,church,Church,80.03,0,1997-08-26,Yes,Charity Commission,NA,"The coordinates for locations 32, 156, and 162 are the same. No other churches are found nearby.",19.03982833,72.85219,Consolidate
201,S2,NA,catholic missionary charch,Church,30.85,0,1985-12-31,Yes,Charity Commission,Low,"Joseph James Church, established in 1986 in a small narrow lane of Bhagat Singh Nagar, Kumbharwada, was first just an open space with a cross fixed on the wall. In 2012, a small iron gate and boundary were added, which always remain locked. There is no official prayer day; people simply stop on the way, pray, and move on.",19.0426855,72.8471911,Consolidate
82,S2,NA,Ghausul Azam Dastagir Dargah Sharif,Masjid,256.59,0,1996-06-06,Yes,Charity Commission,High,"The structure is called a 'Dargah' by the locals. However, the prominent muslim people of Dharavi said it is a 'Chilla'. The structure does not contain any prominent Saint's grave. However, the structure receives a good amount of visitation. The structure is known as 'Salim Dargah' by most of the locals. The Bazm-E-Jilani Trust maintains it
The structure is well known for its religious activities.",19.0465114,72.8600237,Relocate
29,S4,NA,Church,Church,839.34,0,1994-03-20,Yes,Charity Commission,Moderate,"The church is situated in a congested narrow lane, where mostly Telugu people come to pray. It also runs morning coaching classes for students from 5th to 8th standard. The church is open only on Sundays, from 8:30 to 11 am in the morning and from 4 to 5 pm in the evening.",19.04367,72.85693833,Consolidate
38,S4,NA,church,Church,721.56,0,1976-08-09,No,Charity Commission,Moderate,"The church is established in 1988 in a small congested narrow lane of Shastri Nagar, is mostly visited by Tamil & Marathi Koli Christians for prayer. It is open on Sundays and Wednesdays . on Sunday from 9 to 11 am and 6 to 6:30 pm, and on Wednesday from 9 to 11 am..",19.0470876,72.85642,Consolidate
61,S4,NA,Church,Church,391.22,0,1997-01-22,Yes,Charity Commission,NA,Not Found,19.0439061,72.8559024,Consolidate
100,S4,NA,prathna Guru church,Church,188.2,0,1971-09-21,Yes,Charity Commission,Low,"The church is too small, with improper structure. It is managed by B. Tadke. He is a teacher and teaches children at the church. It is for Marathi Christians",19.0477704,72.8567189,Consolidate
35,S4,NA,church,Church,755.08,0,1999-01-23,Yes,Charity Commission,High,"Yah Tabernacle Church is located in a narrow lane of OM sai Chawl, Pila Bungalow, Rajiv Gandhi Nagar. The Tamil-speaking community goes there for prayer. The church is open on Sundays and also on Wednesdays from 10 to 11 am. Every Sunday, at least 100–120 people attend.",19.0493051,72.8558191,Consolidate
53,S4,NA,church,Church,454.56,0,1999-02-03,Yes,Charity Commission,Moderate,"Every Sunday evening from 4 to 6, the church conducts study classes for school students along with lectures and other programs, while in the morning from 9 to 11, it holds a special service for the Telugu community.",19.0426997,72.8471826,Consolidate
17,S5,NA,Shalem assembly of god church,Church,1410.08,0,1993-01-01,No,Charity Commission,Low,"wrong coordinates, 
This church, next to Mumbai Theological College Parsi Chawl in Dharavi, opens only on Sundays from 9 am to 1 pm, where converted Marathi Christians and South Indian Tamil people come to pray.
",19.0477458,72.861278,Consolidate
